state_po,district,candidatevotes,TTL_RECEIPTS,spending_per_vote
AK,0,7117470,153469586.05,21.56237905463599
AL,1,336300,3941155.71,11.719166547725246
AL,2,994805,5558662.6,5.587690652942033
AL,3,952030,11405720.250000002,11.980421047656064
AL,4,587199,6280699.12,10.696031703051265
AL,5,2123170,27187446.76,12.805120061040803
AL,6,184203,3836708.2800000003,20.82869594957737
AL,7,387880,9627159.24,24.819942353305148
AR,1,1250232,2448654.3800000004,1.9585599952648791
AR,2,1232230,10667250.45,8.656866372349317
AR,3,1117940,5520702.18,4.938281285221032
AR,4,433392,20469780.21,47.23155990419759
AZ,1,4337724,17607593.96,4.059178029768607
AZ,2,4204148,37127483.34,8.831155168657242
AZ,3,423222,6550697.06,15.478158177032384
AZ,4,1592988,25059833.610000003,15.731338597654222
AZ,5,1286360,9324559.12,7.248794365496439
AZ,6,4191396,38868303.32,9.273355063563548
AZ,7,391724,-1298603.28,-3.315097568696327
AZ,8,818852,3602059.1999999997,4.398913600992609
AZ,9,2366220,29090994.0,12.294289626492887
CA,1,984900,3247285.68,3.297071459031374
CA,2,1852494,2077827.5,1.1216379108380379
CA,3,1014597,14084554.82,13.881920427519498
CA,4,1565442,4617746.54,2.9498036592860037
CA,5,1415150,5189556.12,3.6671420838780344
CA,6,1514681,7708972.140000001,5.089502106384117
CA,7,1323906,3003649.62,2.268778614191642
CA,8,1537080,2598566.02,1.6905860592812345
CA,9,1220800,30785953.32,25.217851671035387
CA,10,1005520,1685611.8399999999,1.6763583419524224
CA,11,1578390,53534297.64,33.917027882842646
CA,12,719907,4380999.14,6.085507072441301
CA,13,801336,14757929.84,18.416656483672266
CA,14,1190784,8567510.02,7.194848116870902
CA,15,974370,5305653.3,5.445214138366329
CA,16,2169063,6831326.54,3.149436664587428
CA,17,540759,12132459.62,22.43598279455358
CA,18,454539,4591664.3,10.10180490562966
CA,19,1133240,5421188.5600000005,4.783795630228372
CA,20,686343,58697776.0,85.5225098820852
CA,21,879529,6978819.54,7.934723630488591
CA,22,925704,23652714.3,25.551055520987273
CA,23,845525,5269826.2,6.232608379409243
CA,24,1312760,4679376.88,3.5645334105243913
CA,25,1832904,6568390.92,3.583597897107541
CA,26,987156,10283674.38,10.417476447491582
CA,27,786064,24780060.92,31.52422820533697
CA,28,1132785,3466708.1799999997,3.0603408237220653
CA,29,597175,3526619.6999999997,5.905504584083392
CA,30,1477476,51004765.099999994,34.52155236362553
CA,31,768125,781106.54,1.0169002961757527
CA,32,2178261,6850821.260000001,3.1450874160626303
CA,33,796242,6792623.96,8.530853634950178
CA,34,728802,4142088.32,5.6834206272759955
CA,35,523812,1844099.52,3.520536986552427
CA,36,1949941,8190705.399999999,4.200488835303222
CA,37,923160,5933298.42,6.4271615104640585
CA,38,697244,3621105.74,5.193455576527012
CA,39,789582,2783545.76,3.5253409525546426
CA,40,1990177,26963892.6,13.548489707196898
CA,41,1419828,16854491.74,11.87079825161921
CA,42,1015840,5440469.52,5.355636241927862
CA,43,246894,2669121.7,10.81080018145439
CA,44,277428,2424312.22,8.73852754588578
CA,45,1087130,25929545.54,23.851375217315315
CA,46,378894,2825105.92,7.456190702412812
CA,47,2125080,53703409.14,25.271241148568524
CA,48,1799497,7299235.779999999,4.056264489465667
CA,49,2333880,25452752.16,10.905767288806622
CA,50,2954985,6363188.720000001,2.153374287855945
CA,51,932288,3718072.3000000003,3.9881155823093297
CA,52,604064,3036583.48,5.026923438576045
CO,1,1130464,4045198.53,3.57835236681575
CO,2,1395356,12157887.35,8.71310787354625
CO,3,4909275,94485930.45,19.246412240096554
CO,4,1418052,5978374.32,4.21590627142023
CO,5,1945748,4048583.05,2.080733501974562
CO,6,1684530,8992186.11,5.338097932360955
CO,7,3636010,36407534.0,10.013045618686418
CO,8,2365010,26952094.32,11.396186197944195
CT,1,1219565,10512006.52,8.619472123257063
CT,2,855093,11465937.4,13.408994577198037
CT,3,1213255,9109787.44,7.508551326802691
CT,4,944336,7557240.0,8.002702427949375
CT,5,2029376,16373804.4,8.06839363429941
DE,0,2894841,20486170.04,7.076785923648311
FL,1,2326528,17324566.48,7.446532549790933
FL,2,904167,5522767.840000001,6.108128078109465
FL,3,3133823,7579898.49,2.4187385471355594
FL,4,1918721,7781338.56,4.055482042464746
FL,5,4,868222.36,217055.59
FL,6,1203020,6343632.66,5.273089940316869
FL,7,5472990,32397182.19,5.9194667247701895
FL,8,1368832,2400944.2199999997,1.7540094182485504
FL,9,1618944,4547338.6,2.8088300768896266
FL,10,3798290,348130286.44,91.65447778868912
FL,11,2286263,5186261.04,2.268444636509448
FL,12,1609975,6539325.78,4.061756101802823
FL,13,4440098,55057423.3,12.400046868334888
FL,14,1842148,5069739.3,2.75208034316461
FL,15,3472756,10556086.559999999,3.0396856444852443
FL,16,1221432,14889055.680000002,12.18983593028511
FL,17,1394024,5604190.17,4.020153290043787
FL,18,2018106,9958736.55,4.934694485819873
FL,19,2506192,17394534.63,6.940623316170509
FL,20,2637124,21540290.18,8.168099103417207
FL,21,2628040,15170026.2,5.772372642729943
FL,22,3266448,8461381.68,2.590392279319922
FL,23,5301931,13579943.76,2.561320349133174
FL,24,1487128,2269732.88,1.5262525350877665
FL,25,1640464,8502556.26,5.183019109227633
FL,26,1212648,3989595.56,3.2899865088632483
FL,27,2136978,19152410.119999997,8.962380576683522
FL,28,1055750,6970395.630000001,6.602316485910491
GA,1,1319825,7302079.82,5.532612141761218
GA,2,1930720,11394459.58,5.901663410541145
GA,3,1242324,7087595.74,5.7051105347719275
GA,4,551268,1134914.28,2.058734190992403
GA,5,1477280,2412519.84,1.6330823134409183
GA,6,5319968,19267481.52,3.6217288374666916
GA,7,2585429,29223867.84,11.303295445359359
GA,8,1042344,1712043.74,1.6424939751176195
GA,9,1764828,1926528.9,1.0916241696074631
GA,10,4922080,13185411.76,2.6788292266684004
GA,11,1214628,1796828.54,1.4793241552146008
GA,12,795585,2371047.98,2.9802572698077516
GA,13,2116928,38473985.9,18.174442352314298
GA,14,3616914,31235085.34,8.635838546340887
HI,1,1214268,4991761.640000001,4.110922498163503
HI,2,2169850,9594965.15,4.421948590916423
IA,1,1548680,40673605.55,26.263402090812818
IA,2,1607535,57953035.9,36.05087036985198
IA,3,2520312,53252700.4,21.129407946317755
IA,4,1136536,18030715.98,15.864623716274716
ID,1,1562210,1823940.42,1.1675385639574705
ID,2,1084744,5069855.82,4.67378092895651
IL,1,4273650,15319605.959999999,3.5846655575444877
IL,2,418350,3501024.96,8.368650555754751
IL,3,1244313,4753369.74,3.8200756079860936
IL,4,266094,3760078.76,14.130640901335617
IL,5,1372750,3473241.1199999996,2.530133760699326
IL,6,2214872,29463942.66,13.302774453783334
IL,7,335492,2740890.84,8.169765121075912
IL,8,1657720,21618088.08,13.040856163887748
IL,9,1002120,3145809.44,3.139154432602882
IL,10,1452990,7674453.94,5.281835346423582
IL,11,2378169,12365563.02,5.1996149222363925
IL,12,873513,5194064.1,5.946178362542972
IL,13,1753150,20844294.24,11.88962395687762
IL,14,2366000,24398629.59,10.312184949281487
IL,15,1796418,12148694.22,6.762732404150928
IL,16,1787676,13200599.440000001,7.384223673641086
IL,17,1864984,28558868.490000002,15.313197587754106
IN,1,1279242,22862835.48,17.87217389672947
IN,2,776292,11308938.76,14.567892957804537
IN,3,806168,8685829.830000002,10.774218066209526
IN,4,790792,911897.56,1.153144644862366
IN,5,2400090,8525462.780000001,3.552142952972597
IN,6,967620,4665020.36,4.821128500857775
IN,7,700720,4181108.43,5.966874686037219
IN,8,432080,4735084.14,10.958813506758007
IN,9,3153864,58834775.839999996,18.654823365877537
KS,1,1192125,2564397.02,2.151114203627975
KS,2,933432,5185483.34,5.555287733868134
KS,3,1506470,35295306.66,23.429146720478997
KS,4,914960,3840463.1,4.1974109250677625
KY,1,737574,3314712.7,4.494074764023678
KY,2,1186280,4810902.94,4.055453130795428
KY,3,1817109,12876380.64,7.086190558739184
KY,4,1288145,5611637.19,4.3563707424241835
KY,5,865080,2819530.7700000005,3.259271708974893
KY,6,987272,16499902.6,16.7126208380264
LA,1,732132,56168125.91999999,76.71857796135122
LA,2,1230282,10131047.6,8.234736101154043
LA,3,1571864,10969338.16,6.978554226065359
LA,4,3,1367852.92,455950.9733333333
LA,5,1788424,14612827.05,8.170784472809581
LA,6,943712,6054026.01,6.415120301532671
MA,1,790953,14052117.88,17.766059272801293
MA,2,840213,5028440.840000001,5.9847215408473815
MA,3,1508334,8544655.32,5.664962349187912
MA,4,2332552,10591066.05,4.540548742321715
MA,5,569762,9127157.12,16.019245088300025
MA,6,1292128,11292329.950000001,8.739327644010501
MA,7,189830,5869173.84,30.918052151925405
MA,8,853749,5056771.88,5.923019388602505
MA,9,2739640,4814848.96,1.7574750551167306
MD,1,1466790,20406317.080000002,13.912228117181057
MD,2,3221208,5371479.3,1.6675356884746344
MD,3,1749612,2352095.43,1.3443525936036105
MD,4,1440081,16103698.200000001,11.182494734671176
MD,5,1384600,12545195.37,9.060519550772785
MD,6,2563980,45176353.980000004,17.61962027004891
MD,7,924005,1689437.7,1.8283858853577633
MD,8,1321030,18869945.56,14.28426724601258
ME,1,716276,4122681.12,5.75571584137958
ME,2,2624416,49239981.7,18.762262423335326
MI,1,1554396,9721834.48,6.254412955257219
MI,2,1018563,7578801.12,7.440679781221191
MI,3,3050892,34908279.88,11.441991352037371
MI,4,1353392,14268451.84,10.542733989856597
MI,5,1269032,2259570.3,1.7805463534410477
MI,6,1467708,10936138.049999999,7.45116743248657
MI,7,1490832,43494514.26,29.174658351846485
MI,8,1679145,37376507.12,22.259249272695328
MI,9,1491688,655966.04,0.4397474807064212
MI,10,3588607,53963527.699999996,15.037458183635042
MI,11,2929432,19388226.02,6.618425012084254
MI,12,1943039,13259792.850000001,6.82425460837379
MI,13,3751104,88011293.58000001,23.462770848262274
MN,1,4448205,33374716.95,7.50296286929222
MN,2,2603776,44998160.839999996,17.281886322018483
MN,3,1669605,9652086.239999998,5.781059735685985
MN,4,1183892,9313150.290000001,7.866553950867141
MN,5,2017442,24816257.13,12.300852827491447
MN,6,959301,13930442.79,14.521451338005484
MN,7,1835196,7461022.640000001,4.065518146290642
MN,8,1980480,9575117.85,4.834746046412991
MO,1,1104790,9196338.780000001,8.324060482082569
MO,2,1893996,21043173.63,11.11046360710371
MO,3,1665582,7520097.92,4.514997112120568
MO,4,2805869,47822809.2,17.043849588131163
MO,5,691665,4103332.1999999997,5.932542777211511
MO,6,1577352,7711694.85,4.889013264001948
MO,7,2267523,12661672.88,5.583922579837118
MO,8,736185,9763510.32,13.262305425945925
MS,1,334778,2295241.12,6.856009415194547
MS,2,720676,3248955.02,4.5082048243593515
MS,3,561852,3694515.7399999998,6.575603076966888
MS,4,1568322,11489232.540000001,7.325812263042922
MT,1,1735720,38526805.08,22.196440140114763
MT,2,1941048,13132964.440000001,6.765914310207682
NC,1,2319984,14336741.540000001,6.179672592569604
NC,2,2653821,4796755.44,1.8074901962114251
NC,3,2240082,4740905.94,2.116398390773195
NC,4,4662800,5706945.359999999,1.2239309770953075
NC,5,832644,4536744.48,5.448600458299105
NC,6,2848978,14880593.76,5.2231339659344505
NC,7,1421345,4423155.880000001,3.111950919727442
NC,8,1315950,4341797.300000001,3.2993634256620696
NC,9,1861240,6399802.68,3.43846182115149
NC,10,1072828,17734452.04,16.53056411652194
NC,11,3886944,19288927.5,4.962491741584134
NC,12,1119540,2464966.94,2.2017676367079337
NC,13,4437536,56236944.36,12.673011409935604
NC,14,1031008,13754099.38,13.34043904605978
ND,0,2863032,22977264.96,8.025500574216425
NE,1,669495,9476914.64,14.15531802328621
NE,2,877880,15350405.98,17.485767963730808
NE,3,220552,5129073.87,23.255621667452573
NH,1,2789658,35742465.69,12.812490165461142
NH,2,2153088,16962756.78,7.878338823122883
NJ,1,1343304,11187565.75,8.328394577846861
NJ,2,2128356,15646457.0,7.351428520416698
NJ,3,2171008,48712109.84,22.437554278934027
NJ,4,2330658,11810364.24,5.067394804385715
NJ,5,2659430,55367202.75,20.819199132896898
NJ,6,1109514,19258258.8,17.357382421492655
NJ,7,4651395,28041714.76,6.028667692165469
NJ,8,532365,18652314.03,35.03670231889775
NJ,9,749920,7691580.399999999,10.256534563686792
NJ,10,389121,9192358.0,23.623392209621173
NJ,11,3557632,23079150.48,6.4872225345398284
NJ,12,594681,3590358.9899999998,6.0374536768452325
NM,1,2526039,18222418.83,7.213831152250617
NM,2,963365,24659372.61,25.597123219132936
NM,3,1384692,9439849.459999999,6.81729183096313
NV,1,2467839,19661521.47,7.967100556397722
NV,2,1862988,8198283.44,4.400609901942471
NV,3,3026028,30579114.62,10.10536406801259
NV,4,1557409,14802362.72,9.50448001777311
NY,1,3924624,52169548.55,13.292878133038986
NY,2,1792819,39328963.589999996,21.936940421760365
NY,3,2797720,80307060.75,28.704466762220665
NY,4,3064028,29221914.96,9.537091358172967
NY,5,721580,14231932.05,19.723290626126
NY,6,550768,9705892.62,17.622470114458356
NY,7,153557,3620129.76,23.575152939950637
NY,8,433428,30393476.650000002,70.12347298743967
NY,9,502599,4019369.35,7.997169413389203
NY,10,3436227,87257031.60000001,25.3932675577021
NY,11,1719747,48586763.2,28.252273851909614
NY,12,2008624,83669058.8,41.654913413361584
NY,13,428385,4022874.66,9.390792534752618
NY,14,1225820,86045478.11999999,70.1942194775742
NY,15,203464,17769348.88,87.33411748515708
NY,16,1772776,18530425.55,10.452773249412221
NY,17,2621772,59910470.62,22.851136796029554
NY,18,1363085,48382262.6,35.4946775879714
NY,19,1755462,79050160.14,45.03097198344368
NY,20,2070054,20852045.76,10.073189279120255
NY,21,2316936,93981741.56,40.562942420507085
NY,22,2465829,36792882.72,14.921100660264763
NY,23,2142882,26534248.8,12.382505802932686
NY,24,2284200,33938263.08,14.85783341213554
NY,25,854970,20729597.56,24.24599408166368
NY,26,753900,11879406.35,15.757270659238625
OH,1,1778844,10231851.7,5.751966839138227
OH,2,1031448,4332849.0,4.200744002606045
OH,3,776391,6731686.77,8.670485322472826
OH,4,1160624,31309409.060000002,26.976358458897973
OH,5,839811,3260628.1199999996,3.88257372194458
OH,6,841149,3715462.3200000003,4.4171274292663965
OH,7,2125011,16003143.760000002,7.530852197941565
OH,8,836748,2037325.18,2.4348133249198085
OH,9,1330085,10991657.7,8.263876143254002
OH,10,818883,3153321.5399999996,3.8507595590578867
OH,11,1725680,30379814.52,17.604546914839368
OH,12,1381185,5707022.08,4.131975137291529
OH,13,3128499,10576978.12,3.3808475310364487
OH,14,1188112,6160405.66,5.185037824716862
OH,15,2512510,12655572.04,5.037023550155024
OK,1,933980,5254523.67,5.625948810467033
OK,2,3706752,31385075.73,8.46700176596654
OK,3,593316,3587193.36,6.0460081305746005
OK,4,898184,4780363.96,5.322254638247842
OK,5,1811782,31105807.740000002,17.168626104023552
OR,1,620486,3185308.32,5.133570008025966
OR,2,926028,3858304.47,4.166509511591443
OR,3,910002,5517545.32,6.063223289619144
OR,4,2712616,48695904.36,17.951639435880345
OR,5,2458631,28747264.59,11.692386775404687
OR,6,4415655,56463759.0,12.787176307931666
PA,1,2571660,11729408.74,4.5610262398606345
PA,2,373366,3497463.52,9.367386210849407
PA,3,1055740,3752990.2199999997,3.554843256862485
PA,4,1833925,9833285.46,5.361879826056137
PA,5,1575930,5811588.5,3.6877199494901425
PA,6,2285381,13982159.020000001,6.118086664761806
PA,7,1781346,27179794.14,15.258009471489537
PA,8,1721316,19499878.36,11.328470983828652
PA,9,1207228,3707148.42,3.0707939345343216
PA,10,1572730,7524985.800000001,4.78466475491661
PA,11,1584130,3754704.5199999996,2.3701997437079023
PA,12,2300340,9223410.76,4.009585869914882
PA,13,520690,1527682.02,2.933956903339799
PA,14,230865,1998845.21,8.658069477833365
PA,15,915438,5517305.319999999,6.026956844701661
PA,16,962967,4455750.34,4.627105954825035
PA,17,4351536,30454142.3,6.998481065076791
RI,1,626936,6087551.19,9.710004195005551
RI,2,2413068,35635512.64,14.767720031097342
SC,1,2726810,36680016.76,13.451621770493727
SC,2,738378,3350989.92,4.538312246572893
SC,3,194569,3373462.64,17.338130123503745
SC,4,1276555,4372141.14,3.4249532060898273
SC,5,725121,3690792.92,5.089899368519185
SC,6,1055140,13281534.69,12.58746203347423
SC,7,2792515,16848336.81,6.033391695299756
SD,0,4261933,22666192.02,5.318289147201516
TN,1,564009,8022980.08,14.224914992491255
TN,2,1038810,3074908.76,2.960029995860648
TN,3,999150,4916333.08,4.920515518190462
TN,4,520311,1301615.91,2.5016113632039296
TN,5,3540400,45299460.45,12.795011990170604
TN,6,1170378,4057828.84,3.46710963466504
TN,7,542466,14907040.559999999,27.48013803630089
TN,8,2313465,8065445.4,3.4863053471740444
TN,9,669590,7744410.84,11.565899789423378
TX,1,1642634,3137670.1799999997,1.9101456441300981
TX,2,1842296,32503750.38,17.64306624994029
TX,3,1627536,11298570.57,6.942132505824756
TX,4,2048072,3779238.36,1.8452663578233577
TX,5,1271790,5180001.28,4.073000479638934
TX,6,1045247,8437470.280000001,8.072226258482447
TX,7,1272803,8033056.62,6.311311821232351
TX,8,2024712,17739722.16,8.761602716830838
TX,9,327214,827383.04,2.5285685820288863
TX,10,755811,8244949.98,10.908745678483113
TX,11,453198,3100815.54,6.842076840586234
TX,12,1189895,5060482.0,4.252881136570874
TX,13,858708,10594866.479999999,12.338148101566539
TX,14,852596,2466735.18,2.8932051991799166
TX,15,1822668,26306725.380000003,14.433086760726585
TX,16,451488,3423613.8200000003,7.582956401942024
TX,17,1303254,2094952.8800000001,1.6074785728645375
TX,18,468804,5584034.84,11.91123548433887
TX,19,569043,4150366.9000000004,7.293590994002211
TX,20,337198,2925649.05,8.6763535074348
TX,21,4951215,5673566.5600000005,1.1458937977849883
TX,22,1929720,6105373.52,3.1638649752295667
TX,23,1878984,15701953.77,8.35661919952485
TX,24,1786950,8657349.52,4.844763155096673
TX,25,741080,1938323.0899999999,2.6155382549792194
TX,26,1855161,3455699.28,1.862748990518882
TX,27,1656216,2486603.12,1.501376100701841
TX,28,1655810,30977845.58,18.70857500558639
TX,29,402408,1914042.2,4.756471541321246
TX,30,3249234,14413412.35,4.4359416250106944
TX,31,1282295,1948012.59,1.5191610276886365
TX,32,1419992,12287223.56,8.653023087454015
TX,33,342090,5542475.49,16.20180505130229
TX,34,1209951,25158503.4,20.792993600567293
TX,35,2142816,4930455.22,2.30092328039365
TX,36,419230,2264584.96,5.401772201416883
TX,37,1428945,6747927.48,4.722314350797267
TX,38,2598690,19626903.209999997,7.552614282580838
UT,1,2131360,5010635.36,2.3509099166729226
UT,2,2334591,6481369.36,2.776233335946211
UT,3,1700280,15675813.049999999,9.219547986214035
UT,4,2032472,16476504.32,8.106632868743088
VA,1,1028226,11170084.84,10.863453015193159
VA,2,2672964,45392176.35,16.981963225093942
VA,3,623550,3153523.8899999997,5.057371325475102
VA,4,979912,3988734.81,4.070503075786397
VA,5,2462320,7610515.41,3.090790559309919
VA,6,1076936,3500548.71,3.250470510782442
VA,7,3569670,48839709.51,13.681855608501625
VA,8,2958296,10952014.04,3.7021359728708685
VA,9,746376,2815373.64,3.7720581047622113
VA,10,5034465,28796999.94,5.719972219491049
VA,11,2896760,7732822.050000001,2.669472807550505
VT,0,6714965,258737148.18,38.5314217095696
WA,1,1146736,8078915.16,7.04513956132885
WA,2,1351692,6164216.25,4.560370446817767
WA,3,2877831,38563495.38,13.40019458404611
WA,4,1359882,12034213.98,8.849454570323013
WA,5,1902036,21571741.83,11.341395131322434
WA,6,1391492,9781976.52,7.029847473072069
WA,7,1386588,8400001.41,6.058037001618361
WA,8,1680190,40942379.13,24.367707896130796
WA,9,1199240,5295132.0600000005,4.415406474100264
WA,10,2141984,6307483.83,2.9446923179631592
WI,1,1805202,17945919.92,9.941225369792413
WI,2,1514148,5372600.0,3.548266087595136
WI,3,2225454,31232913.6,14.034400890784532
WI,4,255012,4881894.24,19.14378241023952
WI,5,1892615,3571378.38,1.88700733112651
WI,6,755997,4015283.7600000007,5.311242981122942
WI,7,2029608,3839742.869999999,1.8918642762543305
WI,8,1550980,28586212.98,18.431064862216147
WV,1,681588,3860871.81,5.6645243314142855
WV,2,2448860,21402735.9,8.739877289840987
WY,0,2972970,68443816.07,23.02203388194297
